Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image
Calligraphy,Unidentified artist,"17th century or later, spurious date of 1649",13.100.54,Folding fan mounted as an album leaf; ink on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP153864.jpg
Squash,Unidentified artist,Unknown Date,13.100.114,Album leaf; ink and color on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP154408.jpg
Belt hook with twin fish,Unidentified Artist,18th century,2015.500.5.10,Jade (nephrite),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP358045.jpg
Crab,Unidentified Artist,18th century,02.18.377,Jade (nephrite),China,https://images.metmuseum.org/CRDImages/as/mobile-large/02_18_377_O3.jpg
Saddle Pommel,Unidentified Artist,7th–9th century,2003.24.18,Gold,"China (Xinjiang Autonomous Region, Central Asia)",https://images.metmuseum.org/CRDImages/as/mobile-large/DP272003.jpg
Meiping vase,Unidentified Artist,18th century,65.86.57,Porcelain with bluish grey glaze (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-65_86_57_whs-002.jpg
Piece,Unidentified Artist,early 18th century,51.83.6,Silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP278416.jpg
Figure with Removable Head,Unidentified Artist,Unknown Date,"55.195.1a, b",Pottery,China,https://images.metmuseum.org/CRDImages/as/mobile-large/160293.jpg
Figure of Bodhisattva Guanyin riding a lion,Unidentified Artist,early 18th century,62.222.10a–c,Porcelain painted in polychrome enamels over the biscuit (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-62_222_10a_c_whs-009.jpg
Amulet,Unidentified Artist,Unknown Date,16.144.105,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/34749.jpg
Travellers,Unidentified artist,Unknown Date,23.142.2,Hanging scroll; on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/53380.jpg
Pot with Plant,Unidentified Artist,Unknown Date,02.18.750,"Nephrite, a mottling of light and dark green with black specks",China,https://images.metmuseum.org/CRDImages/as/mobile-large/14697.jpg
The Eight Drunkards,Unidentified artist,Unknown Date,19.149,Handscroll; ink and color on silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP200456_CRD.jpg
Plate,Unidentified Artist,Unknown Date,24.80.202,"Porcelain















",China,https://images.metmuseum.org/CRDImages/as/mobile-large/24_80_202_56714.jpg
