Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image
Bottle-shaped Vase,Unknown,1736–95,1944.184.2,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Qing dynasty (1644-1911), Qianlong mark and period (1736-95)",https://openaccess-cdn.clevelandart.org/1944.184.2/1944.184.2_web.jpg
Buckle,Unknown,1900s,1947.617,Jewelry,"China, Qing dynasty (1644-1911) or Republican period (1912-49)",https://openaccess-cdn.clevelandart.org/1947.617/1947.617_web.jpg
Buckle,Unknown,1900s,1947.622,Jewelry,China,https://openaccess-cdn.clevelandart.org/1947.622/1947.622_web.jpg
Buckle,Unknown,1900s,1947.629,Jewelry,"China, Qing dynasty (1644-1911) or Republican period (1912-49)",https://openaccess-cdn.clevelandart.org/1947.629/1947.629_web.jpg
Palace Ladies,"Qiu Ying (Chinese, 1494–1552)",1644–1911,1954.369,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1954.369/1954.369_web.jpg
Bird feeder,Unknown,960–1279,1957.70,Ceramic,"China, Song dynasty (960-1279)",https://openaccess-cdn.clevelandart.org/1957.70/1957.70_web.jpg
Bowl with Birds and Flowers,Unknown,1644–61,1964.227,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Qing dynasty (1644-1911), ""Transitional Period,"" Shunzi period (1644-61)",https://openaccess-cdn.clevelandart.org/1964.227/1964.227_web.jpg
Sarcophagus Panel,Unknown,early 700s,1975.63,Sculpture,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1975.63/1975.63_web.jpg
Album of Landscape Painting Illustrating Old Poems,"Hua Yan (Chinese, 1682–c. 1765)",1745,1982.68,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1982.68/1982.68_web.jpg
Album of Landscape Paintings Illustrating Old Poems: A Scholar at a Table with a Servant aside Preparing the Ink,"Hua Yan (Chinese, 1682–c. 1765)",1745,1982.68.10,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1982.68.10/1982.68.10_web.jpg
Album of Landscape Paintings Illustrating Old Poems: Boy Holding a Horse,"Hua Yan (Chinese, 1682–c. 1765)",1745,1982.68.8,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1982.68.8/1982.68.8_web.jpg
Album of Landscape Paintings Illustrating Old Poems: Children Playing Blindman's Buff in a Garden,"Hua Yan (Chinese, 1682–c. 1765)",1745,1982.68.9,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1982.68.9/1982.68.9_web.jpg
Incense Burner in Form of Archaic Lian with Peonies in Refief,Unknown,1300s,1989.284,Ceramic,"China, Zhejiang province, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1989.284/1989.284_web.jpg
Plum Blossom Cup,Unknown,1621–27,1989.295,Ceramic,"China, Jiangxi province, Jingdezhen kilns, ""Transitional period"", Ming dynasty (1368-1644), Tianqi reign (1621-1627)",https://openaccess-cdn.clevelandart.org/1989.295/1989.295_web.jpg
Bowl with Bats and Floral Scrolls,Unknown,1736–95,1989.320,Enamel,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",https://openaccess-cdn.clevelandart.org/1989.320/1989.320_web.jpg
