Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image,Museum
Square Wine Container (Fangyou),Unknown,c. 1250–1046 BC,1963.103,Metalwork,"China, Henan province, probably Anyang, late Shang dynasty (c.1600-c.1046 BC), Anyang phase (c.1250-1046 BC)",https://openaccess-cdn.clevelandart.org/1963.103/1963.103_web.jpg,Cleveland Art Museum
Head of a Bodhisattva,Unknown,1100s,1923.54,Sculpture,"China, reportedly from Henan province, Northern Song (960-1127) to Jin dynasty (1115-1234)",https://openaccess-cdn.clevelandart.org/1923.54/1923.54_web.jpg,Cleveland Art Museum
Vase,Unknown,1736–95,1963.514,Ceramic,"China, Qing dynasty (1644-1911), Qianlong mark and reign (1736-95)",https://openaccess-cdn.clevelandart.org/1963.514/1963.514_web.jpg,Cleveland Art Museum
Mountains of the Immortals,"Chen Ruyan (Chinese, c. 1331–1371)",1279–1368,1997.95,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1997.95/1997.95_web.jpg,Cleveland Art Museum
"Album of Miscellaneous Subjects, Leaf 2","Fan Qi (Chinese, 1616-aft 1694)",early 1650s,1975.22.2,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1975.22.2/1975.22.2_web.jpg,Cleveland Art Museum
"Album of Miscellaneous Subjects, Leaf 8","Fan Qi (Chinese, 1616-aft 1694)",early 1650s,1975.22.8,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1975.22.8/1975.22.8_web.jpg,Cleveland Art Museum
Miniature Votive Stupa,Unknown,AD 435,1990.84,Sculpture,"China, Gansu province, Northern Wei dynasty (386-534)",https://openaccess-cdn.clevelandart.org/1990.84/1990.84_web.jpg,Cleveland Art Museum
Plum Blossoms and Peonies,"Gao Fenghan (Chinese, 1683–1749)",1741,1980.13,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1980.13/1980.13_web.jpg,Cleveland Art Museum
Stem Cup,Unknown,1426–35,1957.60,Ceramic,"China, Jiangxi province, Jingdezhen, Ming dynasty (1368-1644), Xuande mark and period (1426-1435)",https://openaccess-cdn.clevelandart.org/1957.60/1957.60_web.jpg,Cleveland Art Museum
Brush Washer with Dragons,Unknown,1426–35,1964.166,Ceramic,"China, Jiangxi province, Jingdezhen, Ming dynasty (1368-1644), Xuande reign (1426-35)",https://openaccess-cdn.clevelandart.org/1964.166/1964.166_web.jpg,Cleveland Art Museum
Dish,Unknown,1465–87,1989.288,Ceramic,"China, Jiangxi province, Jingdezhen, Ming dynasty (1368-1644), Chenghua mark and period (1465-1487)",https://openaccess-cdn.clevelandart.org/1989.288/1989.288_web.jpg,Cleveland Art Museum
Plate with Grapes and Floral Sprays,Unknown,1403–25,1953.127,Ceramic,"China, Jiangxi province, Jingdezhen, Ming dynasty (1368-1644), Yongle period (1403-24)",https://openaccess-cdn.clevelandart.org/1953.127/1953.127_web.jpg,Cleveland Art Museum
Pair of Roundback Armchairs: Lohan Type,Unknown,1600–1700s,1955.40,Furniture and woodwork,"China, Ming dynasty (1368-1644) or Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1955.40/1955.40_web.jpg,Cleveland Art Museum
Round Box with Decoration of Two Pheasants and Peonies,Unknown,late 1200s,2011.34.a,Lacquer,"China, late Southern Song (1127-1279) - early Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/2011.34.a/2011.34.a_web.jpg,Cleveland Art Museum
Round Box with Decoration of Two Pheasants and Peonies,Unknown,late 1200s,2011.34.b,Lacquer,"China, late Southern Song (1127-1279) - early Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/2011.34.b/2011.34.b_web.jpg,Cleveland Art Museum
